"seed" "indID" "indSubpopIndex" "subpop" "phen_sal" "phen_temp" "sal_opt" "temp_opt" "fitness" "subset" "PC1" "PC2" "PC3" "RDA1" "RDA2"
"619" "2242330863068" 618 18 7 0.82135 -1.11037 0.333333 -1 0.975933 TRUE 33.2409 -15.6733 10.3527 -1.85625808071243 -0.550169556080177
"629" "2242330863068" 628 28 7 1.43 -0.863249 0.333333 -1 0.963289 TRUE 31.6804 -18.1693 12.8085 -1.68975128174703 -0.144089543329504
"631" "2242330863068" 630 30 7 0.605646 -0.868159 0.333333 -1 0.965833 TRUE 26.0175 -10.065 5.7058 -1.43882763500777 -0.736701133188838
"640" "2242330863068" 639 39 7 0.418016 -0.929412 0.333333 -1 0.990084 TRUE 28.2235 -15.7323 9.04153 -1.57572760339103 1.19639991581186
"647" "2242330863068" 646 46 7 -0.425463 -0.969416 0.333333 -1 0.998131 TRUE 28.4563 -15.3537 10.1494 -1.52954230976854 1.64182406844151
"650" "2242330863068" 649 49 7 0.0896207 -1.16597 0.333333 -1 0.946401 TRUE 33.2892 -16.6245 14.3173 -1.80613872706136 0.984438515379036
"661" "2242330863068" 660 60 7 0.316972 -1.00689 0.333333 -1 0.999905 TRUE 32.0645 -15.8264 12.9106 -1.7218491640306 0.2517658562556
"666" "2242330863068" 665 65 7 2.4073 -1.21649 0.333333 -1 0.910523 TRUE 30.1591 -15.1915 12.3686 -1.67907457511497 -0.340648410380753
"667" "2242330863068" 666 66 7 0.274956 -1.0117 0.333333 -1 0.999726 TRUE 30.4902 -16.5395 11.6696 -1.60981713026945 0.331396063609895
"699" "2242330863068" 698 98 7 0.486302 -1.01366 0.333333 -1 0.999627 TRUE 31.5176 -15.41 7.15199 -1.79318714970301 0.736064434191774
"705" "2242330863068" 704 4 8 -1.1342 -1.14893 0.555556 -1 0.956608 TRUE 30.6458 -16.1765 14.8966 -1.68548576799501 0.76979818686172
"713" "2242330863068" 712 12 8 1.13449 -1.11057 0.555556 -1 0.975847 TRUE 28.8881 -12.0792 10.0479 -1.6529193792628 2.76034762721442
"717" "2242330863068" 716 16 8 -0.00650943 -0.770751 0.555556 -1 0.900225 TRUE 30.1164 -18.1754 11.7416 -1.68264177930394 1.93314238509876
"718" "2242330863068" 717 17 8 -0.411454 -0.862746 0.555556 -1 0.963024 TRUE 31.8928 -18.1902 12.5279 -1.74028625746779 1.138765906546
"727" "2242330863068" 726 26 8 -0.0604079 -0.818742 0.555556 -1 0.936403 TRUE 30.6317 -12.5154 8.30203 -1.78874842748507 1.24104908265366
"729" "2242330863068" 728 28 8 -0.927235 -0.942489 0.555556 -1 0.993407 TRUE 30.8641 -14.4527 11.5072 -1.7010121839023 2.19494788793786
"733" "2242330863068" 732 32 8 2.80149 -1.10183 0.555556 -1 0.979475 TRUE 29.5023 -14.1061 12.8628 -1.69649819248307 1.84869668037513
"778" "2242330863068" 777 77 8 -0.211282 -0.729782 0.555556 -1 0.864127 TRUE 27.9467 -11.8108 3.97184 -1.56067540476324 1.47262212209993
"799" "2242330863068" 798 98 8 1.11445 -0.875168 0.555556 -1 0.969314 TRUE 32.1411 -16.2424 12.5397 -1.80108296259248 -0.348786376135684
"800" "2242330863068" 799 99 8 0.473219 -1.03429 0.555556 -1 0.997651 TRUE 28.9021 -14.833 9.47861 -1.66765575541494 1.11116061979517
"838" "2242330863068" 837 37 9 0.389236 -1.40549 0.777778 -1 0.719754 TRUE 31.8441 -16.0821 12.4984 -1.7230079764506 0.198791629440361
"857" "2242330863068" 856 56 9 0.662527 -0.872344 0.777778 -1 0.967933 TRUE 31.4854 -13.443 14.126 -1.87214343264495 1.98562703520764
"863" "2242330863068" 862 62 9 0.117891 -1.24032 0.777778 -1 0.890913 TRUE 31.111 -16.2032 12.3187 -1.71100201428999 0.755666165572304
"876" "2242330863068" 875 75 9 1.47747 -1.06649 0.777778 -1 0.991197 TRUE 33.6428 -16.4019 12.0358 -1.86005951854466 1.00335674672372
"879" "2242330863068" 878 78 9 1.78866 -1.29432 0.777778 -1 0.840926 TRUE 31.9866 -16.7723 13.4026 -1.80521651512917 1.65300260360507
"881" "2242330863068" 880 80 9 0.891798 -0.772894 0.777778 -1 0.901988 TRUE 28.9565 -15.6092 12.0521 -1.6081139671525 1.52497933921992
"889" "2242330863068" 888 88 9 0.419761 -1.11164 0.777778 -1 0.975383 TRUE 29.2053 -13.2107 9.22874 -1.54673618447691 0.324742159156447
"890" "2242330863068" 889 89 9 0.62578 -0.823633 0.777778 -1 0.939685 TRUE 29.858 -15.2465 11.5293 -1.66319726345129 0.998200158678281
"896" "2242330863068" 895 95 9 1.78917 -0.734072 0.777778 -1 0.868111 TRUE 31.023 -15.7192 12.4974 -1.75465424450522 2.2898045859174
"898" "2242330863068" 897 97 9 0.724673 -0.903379 0.777778 -1 0.981502 TRUE 27.7112 -15.4154 12.4414 -1.40742249184653 1.95280880081442
"906" "2242330863068" 905 5 10 -0.616267 -1.54179 1 -1 0.55595 TRUE 30.1784 -15.5853 12.5171 -1.73499379573117 1.68617014246403
"911" "2242330863068" 910 10 10 0.397325 -0.884708 1 -1 0.973766 TRUE 30.9964 -16.3427 10.9516 -1.67642661064192 1.56638613774073
"933" "2242330863068" 932 32 10 0.923198 -1.00765 1 -1 0.999883 TRUE 28.6354 -15.0736 12.9483 -1.60730994114931 2.86567098054243
"941" "2242330863068" 940 40 10 0.816256 -1.0444 1 -1 0.996066 TRUE 30.2799 -14.5439 10.5778 -1.77399788377064 2.43860982080057
"947" "2242330863068" 946 46 10 -0.469628 -1.06804 1 -1 0.990784 TRUE 26.5308 -10.0002 13.028 -1.51581739639833 1.6537687710326
"956" "2242330863068" 955 55 10 0.737718 -0.926789 1 -1 0.989338 TRUE 29.4643 -15.0754 10.0622 -1.6466576066962 0.188392683965782
"970" "2242330863068" 969 69 10 2.52872 -0.697991 1 -1 0.833253 TRUE 28.922 -16.2979 8.86139 -1.6023133820844 1.79641837049564
"971" "2242330863068" 970 70 10 -0.280605 -0.854481 1 -1 0.958533 TRUE 27.019 -13.1173 9.15975 -1.51888107582377 1.3159734873838
"977" "2242330863068" 976 76 10 -2.25355 -1.08822 1 -1 0.984557 TRUE 31.8655 -17.8258 12.1984 -1.81282428385525 0.991722714059485
"986" "2242330863068" 985 85 10 1.15535 -0.544595 1 -1 0.660481 TRUE 30.9538 -13.6733 8.39533 -1.78642820912307 0.999250395278921
"1005" "2242330863068" 1004 4 11 -1.37388 -0.778116 -1 -0.777778 1 TRUE 26.4997 -9.64704 5.63278 -1.45124258732055 -0.8204515533612
"1009" "2242330863068" 1008 8 11 -1.37556 -0.905619 -1 -0.777778 0.967842 TRUE 29.0654 -11.2822 4.44901 -1.62588009438792 -2.61823368875336
"1036" "2242330863068" 1035 35 11 -0.668094 -0.889139 -1 -0.777778 0.975503 TRUE 28.179 -9.44889 2.19785 -1.52620738738306 -1.94916993335511
"1045" "2242330863068" 1044 44 11 0.663017 -0.850277 -1 -0.777778 0.989543 TRUE 26.8296 -8.71979 -1.1587 -1.43819670501161 -1.62139321260891
"1048" "2242330863068" 1047 47 11 0.173701 -0.570115 -1 -0.777778 0.917367 TRUE 28.2082 -8.35908 -2.55633 -1.59463300961719 -2.15139441601515
"1056" "2242330863068" 1055 55 11 1.26671 -0.83205 -1 -0.777778 0.994126 TRUE 32.918 -11.472 0.0850598 -1.74933102112069 -1.35348347657418
"1066" "2242330863068" 1065 65 11 0.673347 -0.671812 -1 -0.777778 0.977793 TRUE 32.4076 -9.14071 -0.718569 -1.84078154830742 -1.7053458528692
"1072" "2242330863068" 1071 71 11 -1.51828 -0.886775 -1 -0.777778 0.976519 TRUE 26.5765 -12.2673 1.17554 -1.40376402346624 -0.612526741440608
"1075" "2242330863068" 1074 74 11 -1.01619 -0.662995 -1 -0.777778 0.973994 TRUE 27.7863 -7.53682 0.673811 -1.60041624281027 -2.0667663267749
"1079" "2242330863068" 1078 78 11 -1.55464 -0.967853 -1 -0.777778 0.930292 TRUE 29.1462 -8.82106 5.88662 -1.63021438785101 -1.08378493660618
"1105" "2242330863068" 1104 4 12 1.61151 -0.655097 -0.777778 -0.777778 0.970347 TRUE 31.1945 -15.9105 11.9276 -1.67818809852195 -1.36343726818224
"1110" "2242330863068" 1109 9 12 -0.228374 -0.990539 -0.777778 -0.777778 0.913443 TRUE 26.9173 -7.37503 6.37209 -1.45628500308778 -1.07748089249924
"1115" "2242330863068" 1114 14 12 0.557757 -0.654447 -0.777778 -0.777778 0.970037 TRUE 26.3168 -9.55987 4.14879 -1.45355317296788 -0.629319279901613
"1121" "2242330863068" 1120 20 12 0.0729828 -0.553274 -0.777778 -0.777778 0.904111 TRUE 28.1386 -10.7017 -0.0675438 -1.58416395243168 -1.09812249949799
"1142" "2242330863068" 1141 41 12 0.215082 -0.779021 -0.777778 -0.777778 0.999997 TRUE 30.3679 -11.1524 5.26971 -1.61703449087968 -2.28168157263203
"1143" "2242330863068" 1142 42 12 0.70467 -0.953002 -0.777778 -0.777778 0.94044 TRUE 30.2756 -13.8347 6.49498 -1.73211149848334 -1.05762546835415
"1163" "2242330863068" 1162 62 12 -0.327249 -0.778258 -0.777778 -0.777778 1 TRUE 27.4428 -9.21782 0.423054 -1.49871320908317 -0.377547026035504
"1171" "2242330863068" 1170 70 12 0.978753 -0.884289 -0.777778 -0.777778 0.977566 TRUE 28.5686 -12.3726 -1.40739 -1.54891349988902 -1.05729654132805
"1188" "2242330863068" 1187 87 12 1.14604 -0.991422 -0.777778 -0.777778 0.912755 TRUE 27.4272 -6.33266 0.90024 -1.63272889513091 -1.80539038932546
"1193" "2242330863068" 1192 92 12 1.00928 -0.690468 -0.777778 -0.777778 0.98487 TRUE 27.9056 -8.50101 4.12994 -1.53458719898856 -0.559431292375874
"1203" "2242330863068" 1202 2 13 0.642805 -0.653864 -0.555556 -0.777778 0.969758 TRUE 27.4044 -9.39929 4.43654 -1.51595950801464 0.613428070486343
"1209" "2242330863068" 1208 8 13 1.54779 -0.697551 -0.555556 -0.777778 0.98721 TRUE 25.1875 -6.91067 -0.65116 -1.41073629517306 -0.467200428246639
"1214" "2242330863068" 1213 13 13 -0.100392 -0.915929 -0.555556 -0.777778 0.962548 TRUE 26.2752 -9.90591 1.22757 -1.45514302593015 -0.749555998816718
"1215" "2242330863068" 1214 14 13 2.71568 -0.809726 -0.555556 -0.777778 0.997961 TRUE 28.2383 -8.4552 1.08263 -1.54240631008903 0.139506359861541
"1242" "2242330863068" 1241 41 13 0.808775 -0.840712 -0.555556 -0.777778 0.99211 TRUE 25.1968 -9.55898 2.96661 -1.33183350675031 -2.10027960627086
"1247" "2242330863068" 1246 46 13 0.986829 -0.734881 -0.555556 -0.777778 0.996327 TRUE 27.7609 -8.31182 -0.231835 -1.48165186779824 0.953815111241773
"1264" "2242330863068" 1263 63 13 0.925484 -0.635823 -0.555556 -0.777778 0.960499 TRUE 30.3152 -8.73028 -3.31058 -1.65224817634454 -1.01858583263887
"1279" "2242330863068" 1278 78 13 2.05853 -0.912648 -0.555556 -0.777778 0.964274 TRUE 25.0428 -9.95856 2.78188 -1.27554511755487 -0.953821111140282
"1291" "2242330863068" 1290 90 13 -1.13029 -0.831012 -0.555556 -0.777778 0.994348 TRUE 30.7846 -12.6713 0.150567 -1.71360030719708 -1.32255978453684
"1297" "2242330863068" 1296 96 13 1.14472 -0.777291 -0.555556 -0.777778 1 TRUE 28.2001 -10.75 2.97927 -1.49199335547155 -2.37451920453912
"1325" "2242330863068" 1324 24 14 -1.2216 -0.685322 -0.333333 -0.777778 0.983049 TRUE 31.5634 -8.75176 -1.89843 -1.81606450212169 -1.39693224368798
"1335" "2242330863068" 1334 34 14 -0.937298 -0.798219 -0.333333 -0.777778 0.999165 TRUE 28.3564 -8.85009 4.11733 -1.60555065621695 -0.150008601708945
"1337" "2242330863068" 1336 36 14 0.588788 -0.640338 -0.333333 -0.777778 0.962925 TRUE 25.6729 -8.79093 0.238313 -1.34000196512641 -0.11951149953204
"1340" "2242330863068" 1339 39 14 -0.174781 -0.881388 -0.333333 -0.777778 0.978759 TRUE 31.1173 -8.51936 3.59839 -1.72036077674961 -0.982576877124429
"1350" "2242330863068" 1349 49 14 -0.0736366 -0.673553 -0.333333 -0.777778 0.978509 TRUE 29.4146 -13.8648 8.91707 -1.64209635447898 0.040041932485585
"1372" "2242330863068" 1371 71 14 -0.168311 -0.754089 -0.333333 -0.777778 0.998878 TRUE 28.9961 -11.0721 3.46409 -1.61785715995459 -1.54075432914296
"1379" "2242330863068" 1378 78 14 -1.9978 -0.591571 -0.333333 -0.777778 0.933004 TRUE 30.4772 -11.1194 3.14868 -1.58683293024188 -0.774600374144082
"1396" "2242330863068" 1395 95 14 0.311751 -0.873441 -0.333333 -0.777778 0.981864 TRUE 30.0046 -9.68019 4.0603 -1.59867735454487 -1.41510257068695
"1398" "2242330863068" 1397 97 14 0.572936 -0.637864 -0.333333 -0.777778 0.961605 TRUE 28.6206 -11.2846 -0.503493 -1.48175708523501 -2.78659590629891
"1400" "2242330863068" 1399 99 14 -1.10409 -0.895961 -0.333333 -0.777778 0.972452 TRUE 30.0142 -8.50219 4.18122 -1.77269074157857 1.50414206837388
"1409" "2242330863068" 1408 8 15 1.05627 -0.485643 -0.111111 -0.777778 0.843086 TRUE 30.1921 -9.88473 -0.395173 -1.64911689899306 -0.629679837468642
"1412" "2242330863068" 1411 11 15 0.262697 -0.825675 -0.111111 -0.777778 0.995422 TRUE 32.7545 -15.3873 3.58122 -1.78329346854735 0.671036585306417
"1434" "2242330863068" 1433 33 15 -1.98469 -0.706605 -0.111111 -0.777778 0.98992 TRUE 30.9146 -10.1229 -0.147871 -1.69099549155982 -0.931213744141752
"1440" "2242330863068" 1439 39 15 1.4395 -0.776975 -0.111111 -0.777778 0.999999 TRUE 25.6226 -5.20672 -0.163775 -1.42256363347556 -0.775807531442459
"1443" "2242330863068" 1442 42 15 1.81161 -0.467196 -0.111111 -0.777778 0.824546 TRUE 27.8124 -6.19781 -1.45295 -1.5362669843798 -0.209012875900153
"1449" "2242330863068" 1448 48 15 -0.907319 -0.740642 -0.111111 -0.777778 0.997246 TRUE 25.2211 -6.61058 2.10811 -1.37338251546893 -0.932002848498524
"1457" "2242330863068" 1456 56 15 0.846813 -0.672844 -0.111111 -0.777778 0.978219 TRUE 26.2589 -8.2705 2.66596 -1.44946978694557 0.914982559087102
"1466" "2242330863068" 1465 65 15 0.594939 -0.755019 -0.111111 -0.777778 0.998965 TRUE 33.7615 -12.729 1.66253 -1.80866342139119 -0.458530468679328
"1470" "2242330863068" 1469 69 15 1.34679 -0.863844 -0.111111 -0.777778 0.985294 TRUE 31.3597 -11.7286 6.16218 -1.77105685970599 1.07430607957682
"1475" "2242330863068" 1474 74 15 -0.585502 -0.595252 -0.111111 -0.777778 0.93554 TRUE 26.2725 -8.89021 0.78269 -1.33643487021626 -3.01843249273606
"1504" "2242330863068" 1503 3 16 0.639947 -0.600718 0.111111 -0.777778 0.939225 TRUE 27.8362 -9.67383 7.09451 -1.51278783783422 -0.220419626746524
"1505" "2242330863068" 1504 4 16 0.980792 -0.644865 0.111111 -0.777778 0.965285 TRUE 23.5539 -7.80997 3.73783 -1.27582979312942 0.761058626425052
"1525" "2242330863068" 1524 24 16 0.889727 -0.66352 0.111111 -0.777778 0.974228 TRUE 26.9084 -9.77543 3.5902 -1.46045442784363 -0.668374978387289
"1527" "2242330863068" 1526 26 16 0.580949 -0.818303 0.111111 -0.777778 0.996721 TRUE 30.4856 -10.3414 3.78332 -1.70074307418014 0.349982110961488
"1563" "2242330863068" 1562 62 16 0.532166 -0.347512 0.111111 -0.777778 0.690557 TRUE 28.8099 -8.22406 -1.80396 -1.65626197090608 -0.21080123517214
"1569" "2242330863068" 1568 68 16 0.130528 -0.733684 0.111111 -0.777778 0.996119 TRUE 30.5155 -11.1314 1.1262 -1.77534389631626 -0.372493087130036
"1578" "2242330863068" 1577 77 16 -0.527522 -1.00475 0.111111 -0.777778 0.902095 TRUE 27.3079 -11.4796 2.38348 -1.50171392603083 0.319063005517047
"1580" "2242330863068" 1579 79 16 1.53045 -0.627334 0.111111 -0.777778 0.955743 TRUE 31.1976 -11.3775 0.0428305 -1.75189188633342 0.315050650350355
"1597" "2242330863068" 1596 96 16 -0.0210973 -0.490027 0.111111 -0.777778 0.847384 TRUE 26.6573 -8.98689 3.34336 -1.43404888482795 -0.27075742482193
"1599" "2242330863068" 1598 98 16 0.419082 -0.864228 0.111111 -0.777778 0.985164 TRUE 25.429 -9.57704 4.0357 -1.29269532076038 0.715826088382504
"1614" "2242330863068" 1613 13 17 -0.242935 -0.568 0.333333 -0.777778 0.915749 TRUE 27.5898 -9.89106 4.59452 -1.53855383283665 1.20967717560395
"1621" "2242330863068" 1620 20 17 2.24475 -1.01615 0.333333 -0.777778 0.892575 TRUE 26.6076 -10.862 2.47375 -1.45340376735042 1.3756897855628
"1635" "2242330863068" 1634 34 17 0.568707 -0.878358 0.333333 -0.777778 0.979971 TRUE 25.6826 -11.0836 7.13766 -1.3918569980814 1.56093414125271
"1641" "2242330863068" 1640 40 17 -1.15278 -0.917393 0.333333 -0.777778 0.961765 TRUE 26.6129 -12.447 5.18506 -1.36383304262401 0.493965792732013
"1649" "2242330863068" 1648 48 17 -0.65149 -0.586892 0.333333 -0.777778 0.929717 TRUE 24.8867 -9.923 0.623306 -1.38792164415109 1.78230498344526
"1659" "2242330863068" 1658 58 17 -1.16211 -0.744638 0.333333 -0.777778 0.997806 TRUE 29.1016 -12.2459 8.65009 -1.62153600936728 1.79547987181553
"1660" "2242330863068" 1659 59 17 0.508179 -0.637601 0.333333 -0.777778 0.961463 TRUE 27.4058 -9.91687 4.0865 -1.53487903348698 1.07840350625629
