"i" "nloci" "Random_cor_RDAtemppredict_tempphen" "Random_cor_RDAsalpredict_salphen" "Random_cor_RDAtemppredict_tempphen_structcorr" "Random_cor_RDAsalpredict_salphen_structcorr" seed
"5" 5000 0.811931931931932 0.646678678678679 0.0355195195195195 0.654322322322322 1231142
"6" 20000 0.816064064064064 0.685325325325325 0.0316436436436436 0.687887887887888 1231142
"1" 10 0.532038494508318 0.173318616277063 0.0568488488488488 0.163687687687688 1231143
"2" 50 0.56908078803296 0.316723673846295 0.151947947947948 0.339251251251251 1231143
"3" 100 0.763427427427427 0.275983983983984 0.114286286286286 0.397621621621622 1231143
"4" 500 0.788496496496496 0.305677677677678 0.203159159159159 0.546746746746747 1231143
"5" 5000 0.812824824824825 0.35849049049049 0.208524524524524 0.639915915915916 1231143
"6" 8710 0.810626626626627 0.374862862862863 0.207687687687688 0.64972972972973 1231143
"1" 10 0.360186494002575 0.387753891654328 0.0577777777777778 0.0174374374374374 1231144
"2" 50 0.563907907907908 0.551483483483483 0.106838838838839 0.0922642642642642 1231144
"3" 100 0.647175175175175 0.639515515515515 0.125321321321321 0.0951911911911912 1231144
"4" 500 0.745145145145145 0.743051051051051 0.203215215215215 0.184184184184184 1231144
"5" 5000 0.785721721721722 0.785673673673674 0.184228228228228 0.22781981981982 1231144
"6" 20000 0.792644644644645 0.789833833833834 0.187795795795796 0.230506506506506 1231144
"1" 10 0.331907287503861 0.252281282455936 0.0527527527527527 0.10715726442174 1231145
"2" 50 0.57433033033033 0.528210738949953 0.087987987987988 0.209771981753841 1231145
"3" 100 0.601177177177177 0.575442017459765 0.0906426426426426 0.24458282741036 1231145
"4" 500 0.766926926926927 0.677720398118856 0.158706706706707 0.363990354344881 1231145
"5" 5000 0.799795795795796 0.701007708716776 0.202582582582583 0.397043440484123 1231145
"6" 20000 0.805685685685686 0.703874578453384 0.203151151151151 0.403910314224741 1231145
"1" 10 0.160483368767095 0.225905748239673 0.019955955955956 0.0111071071071071 1231146
"2" 50 0.514326326326326 0.452056056056056 0.0308788788788789 0.0392352352352352 1231146
"3" 100 0.638606606606607 0.547791791791792 0.0356636636636637 0.0528528528528528 1231146
"4" 500 0.730962962962963 0.675931931931932 0.0764724724724725 0.0430910910910911 1231146
"5" 5000 0.781313313313313 0.792216216216216 0.0868308308308308 0.0459019019019019 1231146
"6" 20000 0.786218218218218 0.80164964964965 0.0938858858858859 0.0375335335335335 1231146
"1" 10 0.129973242335696 0.153661969084558 -0.00117717717717718 -0.00903305111723756 1231147
"2" 50 0.43975975975976 0.36116588822072 0.0138418418418418 0.005609620840093 1231147
"3" 100 0.527747747747748 0.53093199385891 0.0218698698698699 0.0333173840188536 1231147
"4" 500 0.697845845845846 0.712898324122198 0.0426266266266266 0.040644726015549 1231147
"5" 5000 0.790898898898899 0.785583154322204 0.014994994994995 0.0425065916048732 1231147
"6" 20000 0.802122122122122 0.802135740013099 0.0153433433433433 0.0439640519801721 1231147
"1" 10 0.214057854128897 0.255682445482918 0.0641361361361361 0.0247447447447447 1231148
"2" 50 0.560292292292292 0.503519519519519 0.159015015015015 0.10402002002002 1231148
"3" 100 0.64785985985986 0.613861861861862 0.137893893893894 0.0994714714714715 1231148
"4" 500 0.702842842842843 0.698714714714715 0.195787787787788 0.138614614614615 1231148
"5" 5000 0.762058058058058 0.731335335335335 0.182582582582583 0.154298298298298 1231148
"6" 13000 0.760968968968969 0.733817817817818 0.192436436436436 0.157701701701702 1231148
"1" 10 0.24414391547548 0.192083616103383 0.0322922922922923 0.194946946946947 1231149
"2" 50 0.559335335335335 0.367507755440442 0.0562962962962963 0.385897897897898 1231149
"3" 100 0.610478478478478 0.510108148585265 0.0784744744744745 0.51415015015015 1231149
"4" 500 0.757825825825826 0.659841160844487 0.0859179179179179 0.66215015015015 1231149
"5" 5000 0.787295295295295 0.729297297297297 0.0948308308308308 0.729545545545546 1231149
"6" 20000 0.790662662662663 0.737189189189189 0.101057057057057 0.737701701701702 1231149
"1" 10 0.335795694211909 0.103125165156794 0.0349349349349349 0.105633633633634 1231150
