"nloci" "Random_cor_RDAtemppredict_tempphen" "Random_cor_RDAsalpredict_salphen" "Random_cor_RDAtemppredict_tempphen_structcorr" "Random_cor_RDAsalpredict_salphen_structcorr" seed
"4" 500 0.732348348348348 0.42402002002002 0.00474874874874875 0.461997997997998 1231127
"5" 5000 0.768956956956957 0.665193193193193 0.00622222222222222 0.668932932932933 1231127
"6" 20000 0.767915915915916 0.696976976976977 0.00672672672672673 0.699643643643644 1231127
"1" 10 0.506591865769112 0.0657733585201559 0.0573533533533533 0.0692072764837949 1231128
"2" 50 0.684896951645586 0.213804659878947 0.050982982982983 0.296963260223632 1231128
"3" 100 0.691395395395395 0.400438839278318 0.0620740740740741 0.417732149882241 1231128
"4" 500 0.762910910910911 0.477447925373538 0.0902062062062062 0.55782838621488 1231128
"5" 5000 0.776044044044044 0.563073636710629 0.109425425425425 0.651586237824388 1231128
"6" 12861 0.776068068068068 0.56681738420187 0.107503503503503 0.648126774902001 1231128
"1" 10 0.305620190591746 0.391319591980234 0.0378138138138138 0.0309269269269269 1231129
"2" 50 0.521961961961962 0.551675675675676 0.123443443443443 0.0473873873873874 1231129
"3" 100 0.561181181181181 0.632720720720721 0.106878878878879 0.0744304304304304 1231129
"4" 500 0.685149149149149 0.773585585585586 0.152408408408408 0.111363363363363 1231129
"5" 5000 0.701313313313313 0.802778778778779 0.188708708708709 0.130402402402402 1231129
"6" 20000 0.708556556556556 0.805037037037037 0.188640640640641 0.130266266266266 1231129
"1" 10 0.292338098497571 0.29379135847637 0.0506426426426426 0.0741821821821822 1231130
"2" 50 0.53456109565702 0.494773268041557 0.111011011011011 0.201369369369369 1231130
"3" 100 0.592192192192192 0.573845845845846 0.135395395395395 0.274606606606607 1231130
"4" 500 0.662546546546546 0.631339339339339 0.204744744744745 0.369129129129129 1231130
"5" 5000 0.720840840840841 0.69401001001001 0.250202202202202 0.426810810810811 1231130
"6" 20000 0.723775775775776 0.694142142142142 0.255567567567568 0.431275275275275 1231130
"1" 10 0.327167306047157 0.209704441243659 -0.0130610610610611 0.00891691691691692 1231131
"2" 50 0.521581581581582 0.373369369369369 0.0183063063063063 0.00737137137137137 1231131
"3" 100 0.611267267267267 0.548044044044044 0.00823223223223223 0.00859259259259259 1231131
"4" 500 0.660792792792793 0.696256256256256 0.0315315315315315 0.0233033033033033 1231131
"5" 5000 0.709221221221221 0.80629029029029 0.041021021021021 0.0255135135135135 1231131
"6" 20000 0.713745745745746 0.814662662662663 0.0393833833833834 0.0149229229229229 1231131
"1" 10 0.153706165938591 0.242430863350297 0.032980980980981 0.0126646646646647 1231132
"2" 50 0.371283283283283 0.446710710710711 0.00823623623623623 -0.00874474474474474 1231132
"3" 100 0.480756756756757 0.523635635635636 0.0209249249249249 0.0231671671671672 1231132
"4" 500 0.610182182182182 0.70454054054054 0.0214294294294294 0.0369489489489489 1231132
"5" 5000 0.684144144144144 0.787035035035035 0.0406766766766767 0.0241281281281281 1231132
"6" 20000 0.694822822822823 0.79788988988989 0.0354754754754755 0.0308348348348348 1231132
"1" 10 0.278948978195845 0.422228152365802 0.0137817817817818 0.0273433433433433 1231133
"2" 50 0.564196196196196 0.621345345345345 0.0493013013013013 0.0510950950950951 1231133
"3" 100 0.552112112112112 0.684976976976977 0.108988988988989 0.0727487487487487 1231133
"4" 500 0.54225025025025 0.727607607607608 0.129053053053053 0.0986706706706707 1231133
"5" 5000 0.596700700700701 0.74221021021021 0.138694694694695 0.0952632632632632 1231133
"6" 7380 0.587815815815816 0.739027027027027 0.138478478478478 0.0965925925925926 1231133
"1" 10 0.309698671376338 0.115443246541924 0.0387728115844154 0.125393393393393 1231134
"2" 50 0.534108642751662 0.410636332075712 0.100274374649074 0.416296296296296 1231134
"3" 100 0.568535103639027 0.517684201886347 0.133811945757771 0.519527527527528 1231134
"4" 500 0.664735400135869 0.68570839410284 0.183749933683709 0.689429429429429 1231134
"5" 5000 0.68574843418296 0.743192679065912 0.248907156063344 0.744432432432432 1231134
"6" 20000 0.68861930792758 0.75788988988989 0.258624883508521 0.757953953953954 1231134
"1" 10 0.410913511970615 0.210929788934131 -0.00676477153631123 0.208508508508508 1231135
"2" 50 0.532134666801735 0.441079048778099 0.0571071642714643 0.44044044044044 1231135
"3" 100 0.604407011418733 0.365369196046599 0.0835055890947256 0.397661661661662 1231135
"4" 500 0.672759432191961 0.615297913211433 0.126152278430772 0.612596596596596 1231135
"5" 5000 0.706465171637162 0.672868868868869 0.153940094034205 0.686822822822823 1231135
"6" 20000 0.711578289868514 0.685745745745746 0.169035204239528 0.694942942942943 1231135
"1" 10 0.154569587714641 0.130842097371889 0.0131691691691692 0.145557557557558 1231136
"2" 50 0.533057057057057 0.263195406566795 0.018038038038038 0.299607607607608 1231136
"3" 100 0.621737737737738 0.425697102693151 0.0451291291291291 0.450582582582583 1231136
"4" 500 0.693785785785786 0.602670478492643 0.0437717717717718 0.603591591591591 1231136
"5" 5000 0.726902902902903 0.747083083083083 0.0518078078078078 0.750654654654655 1231136
"6" 20000 0.741489489489489 0.769385385385385 0.0548428428428428 0.770594594594594 1231136
"1" 10 0.182726648611082 0.0675774554397802 0.00163763763763764 0.0747387387387387 1231137
"2" 50 0.384767151919264 0.302787512612501 0.0173453453453453 0.326746746746747 1231137
"3" 100 0.489229229229229 0.423331564901739 -0.00442042042042042 0.433377377377377 1231137
"4" 500 0.632684684684685 0.612827440268015 0.0251651651651652 0.614898898898899 1231137
"5" 5000 0.701493493493493 0.765365365365365 0.0160760760760761 0.764704704704705 1231137
"6" 20000 0.708376376376376 0.782682682682683 0.0113993993993994 0.77983983983984 1231137
"1" 10 0.342347419322104 0.245897480300964 0.0462643105749086 0.222642642642643 1231138
"2" 50 0.601346549242341 0.406485737636558 0.0584485069554917 0.418658658658659 1231138
"3" 100 0.623201825027164 0.493130116377598 0.104646751398202 0.522434434434434 1231138
"4" 500 0.698116814932096 0.620388388388388 0.118420538959558 0.652 1231138
"5" 5000 0.72160832993863 0.676760760760761 0.143978122100294 0.710366366366366 1231138
"6" 10870 0.72568841410288 0.677569569569569 0.145511657168899 0.716308308308308 1231138
"1" 10 0.63565910961189 0.104254945886754 0.0187627627627628 0.132660660660661 1231139
"2" 50 0.758095611804546 0.348973671619662 0.000904904904904905 0.352824824824825 1231139
"3" 100 0.78454054054054 0.37370970970971 -0.0274594594594595 0.376624624624625 1231139
"4" 500 0.823715715715716 0.564664664664665 -0.0835995995995996 0.573109109109109 1231139
"5" 5000 0.830710710710711 0.660488488488488 -0.103375375375375 0.672212212212212 1231139
"6" 20000 0.831847847847848 0.684048048048048 -0.109953953953954 0.688408408408408 1231139
"1" 10 0.54046833419113 0.128146826668862 0.0523624147772182 0.12629029029029 1231140
"2" 50 0.678180893618551 0.149271719535366 0.0418599017616844 0.152344344344344 1231140
"3" 100 0.689468157626129 0.245457457457457 0.0449790240030496 0.261945945945946 1231140
"4" 500 0.773580353934676 0.468064064064064 0.0569630199830315 0.499811811811812 1231140
"5" 5000 0.806857664522591 0.603163163163163 0.067033100133267 0.606686686686687 1231140
"6" 20000 0.808411219631256 0.615059059059059 0.0631572203776296 0.630506506506506 1231140
"1" 10 0.436025481355314 0.0695319897251725 0.0359159159159159 0.0735815815815816 1231141
"2" 50 0.647559559559559 0.161193193193193 0.0695495495495495 0.174038038038038 1231141
"3" 100 0.722638638638639 0.240772772772773 0.0843443443443443 0.244652652652653 1231141
"4" 500 0.768176176176176 0.451715715715716 0.102822822822823 0.493645645645646 1231141
"5" 5000 0.816608608608609 0.611635635635636 0.121309309309309 0.662850850850851 1231141
"6" 20000 0.821661661661662 0.653517517517517 0.127131131131131 0.699419419419419 1231141
"1" 10 0.371378726936928 0.0403432887181761 0.0338458458458458 0.0356316316316316 1231142
"2" 50 0.6321001001001 0.193449449449449 0.0358638638638639 0.19557957957958 1231142
"3" 100 0.687155155155155 0.22418018018018 0.0305305305305305 0.252324324324324 1231142
"4" 500 0.771631631631632 0.470646646646647 0.0295855855855856 0.473309309309309 1231142
"5" 5000 0.811531531531531 0.666670670670671 0.0353753753753754 0.672972972972973 1231142
"6" 20000 0.814298298298298 0.695935935935936 0.0377817817817818 0.702374374374374 1231142
"1" 10 0.658296053409656 0.0781594668710522 0.0830771602374393 0.117697697697698 1231143
"2" 50 0.709294713302729 0.223733957691761 0.0920221141362965 0.272008008008008 1231143
"3" 100 0.734565299865533 0.34042042042042 0.16818635454098 0.438382382382382 1231143
"4" 500 0.796471267739406 0.416576576576577 0.203633837471411 0.532528528528528 1231143
"5" 5000 0.809456265722393 0.380304304304304 0.205767973741819 0.629113113113113 1231143
"6" 8733 0.808667476144025 0.380896896896897 0.207209416626146 0.632600600600601 1231143
"1" 10 0.385873631698198 0.339165577623118 0.0568248248248248 0.0388508508508508 1231144
"2" 50 0.567093660754699 0.537367905273448 0.136016016016016 0.0614894894894895 1231144
"3" 100 0.632368368368368 0.624412412412412 0.133157157157157 0.108912912912913 1231144
"4" 500 0.746842842842843 0.74018018018018 0.137581581581582 0.168088088088088 1231144
"5" 5000 0.793821821821822 0.777741741741742 0.178966966966967 0.218234234234234 1231144
"6" 20000 0.794622622622623 0.784740740740741 0.180832832832833 0.215431431431431 1231144
"1" 10 0.287475230729636 0.150515115449362 0.0395656051707958 0.119391391391391 1231145
"2" 50 0.550908009825846 0.460735195931358 0.0576316893210392 0.205925925925926 1231145
"3" 100 0.652391043434805 0.55591991991992 0.0818118937056403 0.229805805805806 1231145
"4" 500 0.749500249750375 0.659991991991992 0.137171308479857 0.336556556556557 1231145
"5" 5000 0.806088894984283 0.708468468468468 0.162192354546983 0.393861861861862 1231145
"6" 20000 0.811266077343827 0.713553553553553 0.169455625080791 0.393097097097097 1231145
