"LAcalc_SLiM" "LAcalc_1000ind_allmuts" "LAcalc_1000ind_NoMAFmuts" "LAcalc_1000ind_ClinalMuts" "LAcalc_1000ind_ClinalMutsLFMM" "LAcalc_1000ind_NonClinalMuts" "LAcalc_1000ind_RandomMuts_nClinal" "LAcalc_1000ind_RandomMuts_nNonClinal" "LAcalc_1000ind_nClinal" "LAcalc_1000ind_nNonClinal" "seed"
0.408 0.457 0.457 0.457 0.451 0 0.089 0.32 7 1 1231285
0.414 0.459 0.459 0.432 0.452 0.031 0.035 0.435 7 2 1231286
0.414 0.463 0.459 0.322 0.458 0.125 0.01 0.45 6 5 1231287
0.392 0.444 0.439 0.439 0.349 0 0.281 0.312 6 0 1231288
0.462 0.556 0.555 0.44 0.44 0.062 0.321 0.226 5 4 1231289
0.437 0.537 0.51 0.427 0.385 0.034 0.374 0.159 7 4 1231290
0.47 0.568 0.568 0.527 0.535 0.027 0.374 0.456 6 3 1231291
0.492 0.599 0.593 0.553 0.586 0.026 0.059 0.196 7 5 1231292
0.492 0.578 0.573 0.365 0.093 0.097 0.275 0.127 3 7 1231293
0.506 0.596 0.57 0.57 0.531 0 0.194 0.43 8 0 1231294
0.573 0.628 0.628 0.628 0.628 0 0.224 0.398 6 0 1231295
0.573 0.633 0.633 0.633 0.615 0 0.292 0.257 7 0 1231296
0.552 0.623 0.623 0.623 0.605 0 0.097 0.53 7 0 1231297
0.555 0.612 0.449 0.449 0.331 0 0.325 0.11 8 0 1231298
0.542 0.626 0.619 0.615 0.615 -0.003 0.03 0.615 5 1 1231299
0.537 0.639 0.639 0.639 0.639 0 0.294 0.4 5 0 1231300
0.541 0.627 0.627 0.424 0.482 0.132 0.125 0.394 4 4 1231301
0.542 0.635 0.635 0.614 0.614 0.023 0 0.483 6 2 1231302
0.511 0.62 0.62 0.49 0.5 0.092 0.216 0.351 6 4 1231303
0.297 0.36 0.345 0.237 0.319 0.09 0.23 0.146 5 5 1231304
0.275 0.331 0.325 0.064 0.231 0.221 0.101 0.099 3 9 1231305
0.322 0.412 0.412 0.221 0.397 0.164 0.231 0.054 4 9 1231306
0.329 0.409 0.274 0.265 0.274 0.014 0.01 0.049 6 1 1231307
