to from m
59 69 0.1
60 50 0.001
60 59 0.1
60 70 0.001
61 51 0.001
61 62 0.001
61 71 0.001
62 52 0.1
62 61 0.001
62 63 0.1
62 72 0.001
63 53 0.1
63 62 0.001
63 64 0.001
63 73 0.001
64 54 0.001
64 63 0.001
64 65 0.001
64 74 0.1
65 55 0.1
65 64 0.001
65 66 0.01
65 75 0.1
66 56 0.001
66 65 0.01
66 67 0.1
66 76 0.001
67 57 0.001
67 66 0.001
67 68 0.001
67 77 0.001
68 58 0.25
68 67 0.1
68 69 0.001
68 78 0.001
69 59 0.001
69 68 0.001
69 70 0.001
69 79 0.001
70 60 0.001
70 69 0.001
70 80 0.1
71 61 0.001
71 72 0.01
71 81 0.001
72 62 0.001
72 71 0.001
72 73 0.001
72 82 0.001
73 63 0.001
73 72 0.001
73 74 0.001
73 83 0.001
74 64 0.001
74 73 0.1
74 75 0.001
74 84 0.25
75 65 0.001
75 74 0.25
75 76 0.001
75 85 0.001
76 66 0.01
76 75 0.001
76 77 0.001
76 86 0.1
77 67 0.001
77 76 0.001
77 78 0.25
77 87 0.01
78 68 0.001
78 77 0.01
78 79 0.01
78 88 0.001
79 69 0.001
79 78 0.001
79 80 0.001
79 89 0.001
80 70 0.001
80 79 0.001
80 90 0.25
81 71 0.01
81 82 0.25
81 91 0.001
82 72 0.01
82 81 0.25
82 83 0.001
82 92 0.1
83 73 0.1
83 82 0.001
83 84 0.001
83 93 0.001
84 74 0.001
84 83 0.001
84 85 0.25
84 94 0.01
85 75 0.001
85 84 0.001
85 86 0.001
85 95 0.001
86 76 0.001
86 85 0.01
86 87 0.001
86 96 0.01
87 77 0.01
87 86 0.001
87 88 0.001
87 97 0.1
88 78 0.001
88 87 0.01
88 89 0.001
88 98 0.001
89 79 0.001
89 88 0.01
89 90 0.01
89 99 0.1
90 80 0.1
90 89 0.001
90 100 0.001
91 81 0.1
91 92 0.001
92 82 0.001
92 91 0.01
92 93 0.001
93 83 0.001
93 92 0.001
93 94 0.1
94 84 0.001
94 93 0.001
94 95 0.001
95 85 0.001
95 94 0.001
95 96 0.001
96 86 0.1
96 95 0.001
96 97 0.001
97 87 0.001
97 96 0.001
97 98 0.001
98 88 0.001
98 97 0.001
98 99 0.001
99 89 0.001
99 98 0.001
99 100 0.001
100 90 0.01
100 99 0.1
