seed ind_index x y phenotype1_mat phenotype2_MTWetQ phenotype3_MTDQ phenotype4_PDM phenotype5_PwarmQ phenotype6_PWM env1_mat env2_MTWetQ env3_MTDQ env4_PDM env5_PwarmQ env6_PWM
892657863 57 0.30601 0.353641 0.233554 -0.191045 -0.0547616 -0.160458 -0.279085 -0.386259 0.177771 -0.191318 -0.0344654 -0.203971 -0.348288 -0.410451
892657863 58 0.61674 0.061049 0.149105 -0.254662 0.147778 0.424826 -0.0422328 0.247021 0.210005 -0.253901 0.236158 0.401448 -0.0508131 0.309085
892657863 59 0.602027 0.0228385 0.0903169 -0.233906 0.0130417 0.303469 -0.0537265 -0.00885428 0.194764 -0.259262 0.0695268 0.299714 -0.110485 0.0979691
892657863 60 0.889178 0.230432 -0.191401 0.214136 -0.339307 0.165881 -0.0105931 -0.0735109 -0.187802 0.218403 -0.278585 0.0754367 -0.0788591 -0.0900105
892657863 61 0.243405 0.67969 0.263576 -0.281488 0.35059 0.395849 0.301381 0.0849044 0.223265 -0.274892 0.277337 0.238443 0.25068 0.0613705
892657863 62 0.635669 0.172511 0.0069756 -0.307389 0.149001 0.520799 0.0131768 0.56835 0.103923 -0.288886 0.188115 0.564454 0.054359 0.70818
892657863 63 0.286149 0.874201 -0.161239 -0.427327 0.026063 0.479783 0.331671 0.197053 -0.156424 -0.359805 0.0390181 0.552097 0.413211 0.320338
892657863 64 0.143361 0.233237 0.265628 -0.231873 0.214004 -0.239776 -0.517086 -0.258266 0.103057 -0.286317 0.165706 -0.190813 -0.47665 -0.292774
892657863 65 0.61225 0.40245 -0.421039 -0.412337 -0.109637 0.609752 0.126725 0.676185 -0.293883 -0.397341 -0.0246451 0.482951 0.138497 0.556799
892657863 66 0.387263 0.945922 -0.0786476 -0.301148 0.124546 0.183724 0.0607523 -0.0767001 0.0376222 -0.337866 0.181252 0.184107 0.0753935 -0.103772
892657863 67 0.505537 0.222605 -0.0191112 -0.240288 -0.0617259 0.112138 -0.327301 -0.137984 -0.0862293 -0.340934 0.0761382 0.0754367 -0.208658 -0.117196
892657863 68 0.195953 0.240538 0.407611 -0.179528 0.130309 -0.306315 -0.554585 -0.345191 0.331777 -0.243835 0.045245 -0.330966 -0.56179 -0.474781
892657863 69 0.424394 0.386508 0.116075 -0.407518 0.22059 -0.00591147 -0.149019 -0.258702 0.0168099 -0.325864 0.152345 -0.00606618 -0.179016 -0.176501
892657863 70 0.325284 0.768568 0.27027 -0.271078 0.346171 0.24874 0.0902749 0.0197365 0.236525 -0.285388 0.30479 0.26561 0.131485 0.0476086
892657863 71 0.571109 0.393446 0.00095285 -0.434489 0.240085 0.61445 0.131752 0.633639 0.0641426 -0.320373 0.181252 0.455784 0.103439 0.584323
892657863 72 0.919436 0.0877363 0.227355 -0.37825 0.0352284 0.0759408 -0.279634 -0.0948242 0.196745 -0.306379 -0.0658245 0.0482691 -0.198054 -0.15882
892657863 73 0.239934 0.299962 0.406505 0.414751 0.034619 -0.373919 -0.507412 -0.608912 0.187711 0.294327 -0.023393 -0.297506 -0.44569 -0.485356
892657863 74 0.177511 0.795384 0.208085 0.463401 0.0221234 0.263499 0.187838 -0.106622 0.253412 0.408281 -0.00904173 0.203845 0.243011 -0.0149661
892657863 75 0.625173 0.349336 -0.00689962 -0.348558 0.240138 0.600715 0.1501 0.831597 -0.0519351 -0.345092 0.251469 0.603499 0.148574 0.902506
892657863 76 0.621724 0.961722 -0.143048 0.361854 -0.102735 -0.220485 0.206187 -0.0523012 -0.0817198 0.333854 -0.203089 -0.223407 0.215623 -0.0487248
892657863 77 0.438766 0.400129 0.335432 -0.338575 0.12408 0.0502688 -0.23904 -0.12363 0.316087 -0.267895 0.037124 0.0211015 -0.148974 -0.117534
892657863 78 0.367399 0.673106 -0.124059 -0.420625 0.0767137 0.334177 0.14628 0.170917 -0.180392 -0.368852 0.0300852 0.368634 0.174737 0.234555
892657863 79 0.634942 0.131731 0.179986 -0.245499 0.214566 0.589948 0.00917466 0.574728 0.0967784 -0.284557 0.179473 0.50556 0.0157719 0.562188
892657863 80 0.532073 0.485936 0.12975 -0.362824 0.220554 0.316733 0.15465 0.426184 0.130444 -0.316875 0.229295 0.347113 0.0964279 0.391656
