"seed" "subpopID" "indID" "indSubpopIndex" "subpop" "phen_sal" "phen_temp" "sal_opt" "temp_opt" "fitness" "subset" "N" "opt0" "opt1" "x" "y" "PC1" "PC2" "PC3" "LFMM_U1_temp" "LFMM_U1_sal" "LFMM_U2_temp" "LFMM_U2_sal" "RDA1" "RDA2" "RDA1_corr" "RDA2_corr" "RDA_PC1" "RDA_PC2" "RDA_PC1_corr" "RDA_PC2_corr" "RDA_predict_tempPhen_20KSNPs" "RDA_predict_salPhen_20KSNPs" "RDA_predict_tempPhen_20KSNPs_structcorr" "RDA_predict_salPhen_20KSNPs_structcorr"
"1565" "1231094" 3 31 4 3 0 -0.998645 -0.555556 -1 0.999996 TRUE 27 -0.555556 -1 3 1 78.254 49.1937 -31.7206 28.5030967283677 54.5512827854471 -13.7728716543445 30.5237864150255 -2.48230814944989 -1.88844886114387 -4.76188791627273 -1.96654659854591 -2.80813904009122 2.38234333502602 -0.739456028002137 4.0973492414019 -2499.76199990656 -35.3843716975814 -28.1197337533251 -28.4068636901613
"1568" "1231094" 3 34 7 3 0 -1.12789 -0.555556 -1 0.967817 TRUE 27 -0.555556 -1 3 1 81.0746 47.1813 -27.0024 27.0864972065761 57.023721800297 -10.3475664719327 29.2224465348114 -2.59016664780348 -0.870572243458041 -4.01102189552208 -0.913882155036161 -2.67672471712612 1.95647826694937 -0.324172841764512 3.2972522559895 -2610.79459828554 -19.2415062805716 -23.8158800029649 -12.0701517232375
"1571" "1231094" 3 37 10 3 0 -1.11344 -0.555556 -1 0.974592 TRUE 27 -0.555556 -1 3 1 77.9378 51.6814 -31.8303 30.1801380626736 54.5241163400054 -13.278093035556 32.1986415429781 -2.48134428082056 -3.65494306357827 -4.64495760588014 -3.719303539227 -2.96352435366337 2.32292495151844 -0.667953565023576 3.63078489566284 -2517.80804131053 -61.7806280120018 -27.9600138007761 -54.5858562784714
"1572" "1231094" 3 38 11 3 0 -1.15567 -0.555556 -1 0.952689 TRUE 27 -0.555556 -1 3 1 78.4991 50.3417 -29.7596 29.8337850786627 55.3663724631689 -12.5949410972964 31.893367736742 -2.5192156772127 -1.12490983122072 -4.64580795635506 -1.18832319162118 -2.93206173270414 2.23547998642858 -0.645046924301671 3.57176252010725 -2529.18289916686 -21.5288990200791 -27.3788895476297 -14.3843392306282
"1575" "1231094" 3 41 14 3 0 -1.0225 -0.555556 -1 0.998988 TRUE 27 -0.555556 -1 3 1 81.0947 53.1688 -33.4866 31.4695299165789 57.2663865214807 -14.7516616166 33.5974959888989 -2.6060179821214 -1.2390702970442 -4.9391862431911 -1.30770476570667 -3.0841201718113 2.5029591499017 -0.0800171235758558 4.064753343561 -2635.47978941883 -23.0991841253018 -29.2124132611777 -15.5742500965086
"1578" "1231094" 3 44 17 3 0 -1.00346 -0.555556 -1 0.999976 TRUE 27 -0.555556 -1 3 1 80.6007 53.7213 -32.1038 32.1665072999093 56.7855259909181 -13.6488903873717 34.2740651340698 -2.5850118795648 -1.93346126472395 -4.92470426505253 -1.9995740782704 -3.14870623171843 2.36694848899139 -0.480419894134506 4.20487221048651 -2620.14179457485 -33.4676730796161 -29.1526566051753 -25.9559362953958
"1579" "1231094" 3 45 18 3 0 -1.09711 -0.555556 -1 0.981317 TRUE 27 -0.555556 -1 3 1 77.9789 45.3027 -26.4839 26.3122930935168 54.3898527357325 -10.9460311767651 28.3427439316282 -2.47193037605409 -1.14640138858006 -4.05814449127084 -1.19845985329518 -2.60468816568853 2.03089287456463 -0.53975092491499 2.7646443415318 -2505.11131494188 -20.3108150408635 -24.2752759722041 -13.4040893093527
"1581" "1231094" 3 47 20 3 0 -1.00749 -0.555556 -1 0.999888 TRUE 27 -0.555556 -1 3 1 77.945 49.4685 -30.1698 29.1039778740719 54.7287223796269 -12.8161205404258 31.1363506098417 -2.49025371973987 -1.87120537754593 -4.61900137500191 -1.93786351138721 -2.86401181346565 2.26361075149401 -0.611561977049626 3.34079335182111 -2514.52614118188 -37.2179861512161 -27.1098737271103 -30.1217559983367
"1582" "1231094" 3 48 21 3 0 -0.992947 -0.555556 -1 0.999901 TRUE 27 -0.555556 -1 3 1 77.4643 46.0751 -28.4255 26.3863321238211 53.8844105773909 -11.6612611532579 28.385575478391 -2.45126241727579 -1.44316908948242 -4.51723915803162 -1.51961319916842 -2.61147863424165 2.11994547899799 -1.07159092226309 3.63398153167485 -2489.57430747659 -29.7797474180783 -26.0493194890333 -22.9729050550616
"1584" "1231094" 3 50 23 3 0 -0.97357 -0.555556 -1 0.998604 TRUE 27 -0.555556 -1 3 1 76.9672 49.222 -29.0015 28.8957741321726 53.9967184607915 -11.4959596909604 30.9016552878576 -2.45630576742358 -2.92245597075857 -4.35539361396174 -2.97803323275377 -2.84433799258216 2.10105865021932 -0.880917586813443 3.09402578901235 -2486.06634564143 -51.6045229115671 -25.3975414054678 -44.5705858381805
